CPV_Categoria;Descripcion_Categoria;Tipo_de_contrato
15712000-2;Pienso seco;Suministros
15713000-9;Alimentos para animales domesticos;Suministros
15811000-6;Productos a base de pan;Suministros
15811100-7;Pan;Suministros
15811200-8;Panecillos;Suministros
15811300-9;Cruasanes;Suministros
15811400-0;Tortitas (<crumpets>);Suministros
15811500-1;Productos de panificacion preparados;Suministros
15811510-4;Bocadillos y emparedados;Suministros
15811511-1;Bocadillos y emparedados preparados;Suministros
15812000-3;Pasteles y productos de pasteleria;Suministros
15812100-4;Productos de pasteleria;Suministros
15812120-0;Empanadas;Suministros
15812121-7;Empanadas de verduras;Suministros
15812122-4;Empanadas dulces;Suministros
15812200-5;Pasteles;Suministros
15813000-0;Productos para el desayuno;Suministros
15821000-9;Productos de pan tostado y de pasteleria;Suministros
15821100-0;Productos de pan tostado;Suministros
15821110-3;Pan tostado;Suministros
15821130-9;Galletas crocantes;Suministros
15821150-5;Biscotes;Suministros
15821200-1;Galletas dulces;Suministros
15831000-2;Azucar;Suministros
15831200-4;Azucar blanco;Suministros
15831300-5;Azucar y jarabe de arce;Suministros
15831400-6;Melazas;Suministros
15831500-7;Jarabes de azucar;Suministros
15831600-8;Miel;Suministros
15832000-9;Residuos de la industria azucarera;Suministros
15833000-6;Productos del azucar;Suministros
15833100-7;Postres;Suministros
15833110-0;Fondos de tarta;Suministros
15841000-5;Cacao;Suministros
15841100-6;Pasta de cacao;Suministros
15841200-7;Manteca, grasa o aceite de cacao;Suministros
15841300-8;Cacao en polvo no azucarado;Suministros
15841400-9;Cacao en polvo azucarado;Suministros
15842000-2;Chocolate y articulos de confiteria;Suministros
15842100-3;Chocolate;Suministros
15842200-4;Productos a base de chocolate;Suministros
15842210-7;Chocolate para beber;Suministros
15842220-0;Tabletas de chocolate;Suministros
15842300-5;Articulos de confiteria;Suministros
15842310-8;Caramelos;Suministros
15842320-1;Turron;Suministros
15842400-6;Frutas, frutos de cascara o cascaras de fruta conservados con azucar;Suministros
15851000-8;Productos farinaceos;Suministros
15851100-9;Pastas alimenticias sin cocer;Suministros
15851200-0;Pastas alimenticias y cuscus preparados;Suministros
15851210-3;Pastas alimenticias preparadas;Suministros
15851220-6;Pastas alimenticias rellenas;Suministros
15851230-9;Lasa?as;Suministros
15851250-5;Cuscus;Suministros
15851290-7;Pastas alimenticias enlatadas;Suministros
15861000-1;Cafe;Suministros
15861100-2;Cafe tostado;Suministros
15861200-3;Cafe descafeinado;Suministros
15862000-8;Sucedaneos del cafe;Suministros
15863000-5;Te;Suministros
15863100-6;Te verde;Suministros
15863200-7;Te negro;Suministros
15864000-2;Preparaciones de te o de mate;Suministros
15864100-3;Bolsitas de te;Suministros
15865000-9;Infusiones de hierbas;Suministros
15871000-4;"""Vinagre; salsas; condimentos compuestos; harina y polvo de mostaza; mostaza preparada""";Suministros
15871100-5;Vinagre y sucedaneos del vinagre;Suministros
15871110-8;Vinagre o equivalente;Suministros
15871200-6;Salsas, condimentos compuestos y sazonadores compuestos;Suministros
15871210-9;Salsa de soja;Suministros
15871230-5;Ketchup;Suministros
15871250-1;Mostaza;Suministros
15871260-4;Salsas;Suministros
15871270-7;Condimentos compuestos;Suministros
15871273-8;Mayonesa;Suministros
15871274-5;Productos para untar bocadillos;Suministros
15871279-0;Chutney;Suministros
15872000-1;Hierbas y especias;Suministros
15872100-2;Pimienta;Suministros
15872200-3;Especias;Suministros
15872300-4;Hierbas;Suministros
15872400-5;Sal;Suministros
15872500-6;Jengibre;Suministros
15881000-7;Preparaciones alimenticias homogeneizadas;Suministros
15882000-4;Productos dieteticos;Suministros
15884000-8;Alimentos infantiles;Suministros
15891000-0;Sopas y caldos;Suministros
15891100-1;Sopas de carne;Suministros
15891200-2;Sopas de pescado;Suministros
15891300-3;Sopas compuestas;Suministros
15891400-4;Sopas;Suministros
15891410-7;Sopas instantaneas;Suministros
15891500-5;Caldos;Suministros
15891600-6;Concentrados de caldo;Suministros
15891610-9;Caldos instantaneos;Suministros
15891900-9;Sopas de verduras;Suministros
15892000-7;Jugos y extractos vegetales, sustancias pepticas y espesantes;Suministros
15892100-8;Jugos vegetales;Suministros
15892200-9;Extractos vegetales;Suministros
15892400-1;Espesantes;Suministros
15893000-4;Productos secos;Suministros
15893100-5;Mezclas para comidas;Suministros
15893200-6;Mezclas para postres;Suministros
15893300-7;Mezclas para salsas;Suministros
15894000-1;Productos alimenticios elaborados;Suministros
15894100-2;Comidas vegetarianas;Suministros
15894200-3;Comidas preparadas;Suministros
15894210-6;Comidas para colegios;Suministros
15894220-9;Comidas para hospitales;Suministros
15894300-4;Bandejas de comida preparada;Suministros
15894400-5;Aperitivos;Suministros
15894500-6;Productos para maquinas automaticas distribuidoras;Suministros
15894600-7;Alimentos para bocadillos;Suministros
15894700-8;Comestibles finos preparados;Suministros
15895000-8;Productos para comida rapida;Suministros
15895100-9;Hamburguesas;Suministros
15896000-5;Productos congelados;Suministros
15897000-2;Productos enlatados y raciones de campa?a;Suministros
15897100-3;Raciones de campa?a;Suministros
15897200-4;Productos enlatados;Suministros
15897300-5;Paquetes de comida;Suministros
15898000-9;Levadura;Suministros
15899000-6;Polvos para hornear;Suministros
15911000-7;Bebidas espirituosas;Suministros
15911100-8;Aguardientes;Suministros
15911200-9;Licores;Suministros
15931000-3;Vinos no aromatizados;Suministros
15931100-4;Vino espumoso;Suministros
15931200-5;Vino de mesa;Suministros
15931300-6;Oporto;Suministros
15931400-7;Vino de Madeira;Suministros
15931500-8;Mosto de uva;Suministros
15931600-9;Jerez;Suministros
15932000-0;Heces de vino;Suministros
15941000-6;Sidra;Suministros
15942000-3;Vinos a base de fruta;Suministros
15951000-9;Vermut;Suministros
15961000-2;Cerveza;Suministros
15961100-3;Cerveza <lager>;Suministros
15962000-9;Heces de cerveceria o destileria;Suministros
15981000-8;Agua mineral;Suministros
15981100-9;Agua mineral sin gas;Suministros
15981200-0;Agua mineral con gas;Suministros
15981300-1;Agua en estado solido;Suministros
15981310-4;Hielo;Suministros
15981320-7;Nieve;Suministros
15981400-2;Aguas minerales aromatizadas;Suministros
15982000-5;Refrescos;Suministros
15982100-6;Zumos de fruta concentrados;Suministros
15982200-7;Leche chocolateada;Suministros
15991000-1;Productos de tabaco;Suministros
15991100-2;Cigarros puros;Suministros
15991200-3;Cigarros peque?os;Suministros
15991300-4;Cigarrillos;Suministros
15992000-8;Tabaco;Suministros
15992100-9;Tabaco manufacturado;Suministros
15993000-5;Articulos de estanco;Suministros
15994000-2;Papel de fumar y papel de filtro;Suministros
15994100-3;Papel de fumar;Suministros
15994200-4;Papel de filtro;Suministros
16141000-5;Distribuidores de abono;Suministros
16311000-8;Cortadoras de cesped;Suministros
16311100-9;Cortadoras de cesped para jardines, parques o terrenos de deporte;Suministros
16331000-4;Prensas recogedoras;Suministros
16611000-1;Maquinas para lavar productos agricolas;Suministros
16611100-2;Maquinas para lavar huevos;Suministros
16611200-3;Maquinas para lavar frutas;Suministros
16612000-8;Maquinas para seleccionar o clasificar productos agricolas;Suministros
16612100-9;Maquinas para seleccionar o clasificar huevos;Suministros
16612200-0;Maquinas para seleccionar o clasificar fruta;Suministros
16613000-5;Maquinas para la limpieza o la clasificacion de semillas, granos o legumbres secas;Suministros
16651000-3;Incubadoras y criadoras, para la avicultura;Suministros
18113000-4;Prendas de vestir para uso industrial;Suministros
18114000-1;Monos;Suministros
18132000-3;Ropa de vuelo;Suministros
18132100-4;Chaquetas de vuelo;Suministros
18132200-5;Trajes de vuelo;Suministros
18141000-9;Guantes de trabajo;Suministros
18142000-6;Viseras de seguridad;Suministros
18143000-3;Indumentaria de proteccion;Suministros
18211000-1;Capas;Suministros
18212000-8;Capotes;Suministros
18213000-5;Chaquetones cortavientos;Suministros
18221000-4;Ropa impermeable;Suministros
18221100-5;Capas impermeables;Suministros
18221200-6;Anoraks;Suministros
18221300-7;Impermeables;Suministros
18222000-1;Indumentaria corporativa;Suministros
18222100-2;Trajes y vestidos;Suministros
18222200-3;Conjuntos;Suministros
18223000-8;Chaquetas y chaquetas deportivas;Suministros
18223100-9;Chaquetas deportivas;Suministros
18223200-0;Chaquetas;Suministros
18224000-5;Prendas de vestir confeccionadas de tejidos impregnados o recubiertos;Suministros
18231000-7;Vestidos;Suministros
18232000-4;Faldas;Suministros
18233000-1;Pantalones cortos;Suministros
18234000-8;Pantalones;Suministros
18235000-5;Jerseys, cardigans y articulos similares;Suministros
18235100-6;Pullovers;Suministros
18235200-7;Cardigans;Suministros
18235300-8;Chandales;Suministros
18235400-9;Chalecos;Suministros
18311000-2;Combinaciones;Suministros
18312000-9;Calzoncillos;Suministros
18313000-6;Bragas;Suministros
18314000-3;Albornoces;Suministros
18315000-0;Medias;Suministros
18316000-7;Leotardos;Suministros
18317000-4;Calcetines;Suministros
18318000-1;Ropa de dormir;Suministros
18318100-2;Camisas de dormir;Suministros
18318200-3;Batas;Suministros
18318300-4;Pijamas;Suministros
18318400-5;Camisetas de punto;Suministros
18318500-6;Camisones;Suministros
18321000-5;Sostenes;Suministros
18322000-2;Corses;Suministros
18323000-9;Ligas;Suministros
18331000-8;Camisetas;Suministros
18332000-5;Camisas;Suministros
18333000-2;Polos;Suministros
18411000-3;Prendas para bebes;Suministros
18412000-0;Ropa deportiva;Suministros
18412100-1;Prendas para el entrenamiento deportivo;Suministros
18412200-2;Camisas de deporte;Suministros
18412300-3;Trajes de esqui;Suministros
18412800-8;Trajes y pantalones de ba?o;Suministros
18421000-6;Pa?uelos;Suministros
18422000-3;Bufandas;Suministros
18423000-0;Corbatas;Suministros
18424000-7;Guantes;Suministros
18424300-0;Guantes desechables;Suministros
18424400-1;Manoplas;Suministros
18424500-2;Guanteletes;Suministros
18425000-4;Cinturones;Suministros
18425100-5;Bandoleras;Suministros
18441000-2;Sombreros;Suministros
18443000-6;Tocados y sus complementos;Suministros
18443100-7;Diademas y bandas;Suministros
18443300-9;Tocados;Suministros
18443310-2;Boinas;Suministros
18443320-5;Gorras de campo;Suministros
18443330-8;Capuchas;Suministros
18443340-1;Gorras;Suministros
18443400-0;Barboquejos para sombrereria;Suministros
18443500-1;Viseras;Suministros
18444000-3;Tocados de proteccion;Suministros
18444100-4;Tocados de seguridad;Suministros
18444110-7;Cascos;Suministros
18444111-4;Cascos de proteccion;Suministros
18444112-1;Cascos de ciclista;Suministros
18444200-5;Cascos de seguridad;Suministros
18451000-5;Botones;Suministros
18451100-6;Partes de botones;Suministros
18452000-2;Imperdibles;Suministros
18453000-9;Cremalleras;Suministros
18511000-4;Piedras preciosas para joyeria;Suministros
18511100-5;Diamantes;Suministros
18511200-6;Rubies;Suministros
18511300-7;Esmeraldas;Suministros
18511400-8;Opalos;Suministros
18511500-9;Cuarzos;Suministros
18511600-0;Turmalinas;Suministros
18512000-1;Monedas y medallas;Suministros
18512100-2;Monedas;Suministros
18512200-3;Medallas;Suministros
18513000-8;Articulos de joyeria;Suministros
18513100-9;Perlas;Suministros
18513200-0;Articulos de orfebreria de oro;Suministros
18513300-1;Articulos de metales preciosos;Suministros
18513400-2;Articulos de piedras preciosas o semipreciosas;Suministros
18513500-3;Articulos de orfebreria de plata;Suministros
18521000-7;Relojes de pulsera o de bolsillo;Suministros
18521100-8;Cristal para relojes de pulsera;Suministros
18522000-4;Relojes de pulsera;Suministros
18523000-1;Cronometros;Suministros
18611000-5;Pieles finas;Suministros
18612000-2;Prendas de vestir de piel;Suministros
18613000-9;Articulos de piel artificial;Suministros
18811000-7;Calzado impermeable;Suministros
18812000-4;Calzado con partes de caucho o de plastico;Suministros
18812100-5;Sandalias con pala de caucho o de plastico;Suministros
18812200-6;Botas de caucho;Suministros
18812300-7;Calzado de vestir con pala de caucho o de plastico;Suministros
18812400-8;Chancletas;Suministros
18813000-1;Calzado con pala de cuero;Suministros
18813100-2;Sandalias;Suministros
18813200-3;Pantuflas;Suministros
18813300-4;Calzado de vestir;Suministros
18814000-8;Calzado con pala de materiales textiles;Suministros
18815000-5;Botas;Suministros
18815100-6;Botines;Suministros
18815200-7;Botas de media ca?a;Suministros
18815300-8;Botas altas;Suministros
18815400-9;Botas de agua de ca?a alta;Suministros
18816000-2;Chanclos;Suministros
18821000-0;Calzado de esqui;Suministros
18821100-1;Calzado de esqui de fondo;Suministros
18822000-7;Zapatillas de entrenamiento;Suministros
18823000-4;Botas de media monta?a, de serraje;Suministros
18824000-1;Botas de futbol;Suministros
18831000-3;Calzado con puntera metalica de proteccion;Suministros
18832000-0;Calzado especial;Suministros
18832100-1;Calzado de vuelo;Suministros
18841000-6;Palas de calzado;Suministros
18842000-3;Suelas;Suministros
18843000-0;Tacones;Suministros
18911000-8;Sillas de montar;Suministros
18912000-5;Fustas;Suministros
18913000-2;Latigos;Suministros
18921000-1;Maletas;Suministros
18923000-5;Bolsas y billeteros;Suministros
18923100-6;Bolsas peque?as;Suministros
18923200-7;Billeteros;Suministros
18924000-2;Baules;Suministros
18925000-9;Portacantimploras y fundas;Suministros
18925100-0;Portacantimploras;Suministros
18925200-1;Fundas;Suministros
18929000-7;Neceseres;Suministros
18931000-4;Sacos de viaje;Suministros
18931100-5;Mochilas;Suministros
18932000-1;Bolsas de deporte;Suministros
18933000-8;Sacas y bolsas para correo;Suministros
18933100-9;Valijas;Suministros
18934000-5;Macutos;Suministros
18935000-2;Bolsas para ropa sucia;Suministros
18936000-9;Bolsas textiles;Suministros
18937000-6;Sacos para embalaje;Suministros
18937100-7;Bolsas para embalaje;Suministros
18938000-3;Sobres acolchados;Suministros
18939000-0;Bolsos de mano;Suministros
19131000-3;Piel de oveja o cordero;Suministros
19132000-0;Piel de cabra o cabritilla;Suministros
19133000-7;Cuero de cerdo;Suministros
19141000-6;Cuero de otros animales;Suministros
19142000-3;Cuero artificial o regenerado;Suministros
19143000-0;Cuero de imitacion;Suministros
19144000-7;Charol;Suministros
19211000-8;Tejidos sinteticos;Suministros
19211100-9;Tejidos de mezcla;Suministros
19212000-5;Tejidos de algodon;Suministros
19212100-6;Cuti;Suministros
19212200-7;Tejidos de mezclilla (<denim>);Suministros
19212300-8;Lona;Suministros
19212310-1;Articulos de lona;Suministros
19212400-9;Popelina;Suministros
19212500-0;Cinchas;Suministros
19212510-3;Cinchas y correas;Suministros
19231000-4;Ropa blanca;Suministros
19241000-7;Terciopelo y felpa;Suministros
19242000-4;Tejido de toalla con bucles;Suministros
19243000-1;Tejidos para tapiceria;Suministros
19244000-8;Tejidos para cortinas;Suministros
19245000-5;Tejidos de revestimiento;Suministros
19251000-0;Tejidos de punto;Suministros
19251100-1;Tejidos de terciopelo y felpa;Suministros
19252000-7;Tejidos de ganchillo;Suministros
19281000-9;Lana;Suministros
19282000-6;Pieles de animal;Suministros
19283000-3;Pieles y plumas de aves;Suministros
19431000-6;Hilados de seda;Suministros
19432000-3;Hilados de lana;Suministros
19433000-0;Hilados de algodon;Suministros
19434000-7;Hilados de lino;Suministros
19435000-4;Hilos e hilados de coser de fibras naturales;Suministros
19435100-5;Hilo de coser;Suministros
19435200-6;Hilados para tejer;Suministros
19436000-1;Hilados de fibras textiles vegetales;Suministros
19441000-9;Hilados sinteticos;Suministros
19442000-6;Hilos sinteticos;Suministros
19442100-7;Hilos sinteticos de coser;Suministros
19442200-8;Hilados sinteticos para tejer;Suministros
19511000-1;Camaras de aire, bandas de rodadura y fajas de proteccion de la camara de aire, de caucho;Suministros
19511100-2;Fajas de proteccion de la camara de aire del neumatico;Suministros
19511200-3;Camaras de aire;Suministros
19511300-4;Bandas de rodadura de neumaticos;Suministros
19512000-8;Articulos de caucho sin vulcanizar;Suministros
19513000-5;Tejidos cauchutados;Suministros
19513100-6;Tejidos para cuerdas de neumaticos;Suministros
19513200-7;Cinta adhesiva de tejidos cauchutados;Suministros
19514000-2;Caucho regenerado;Suministros
